Series;Type(V);Display Format;mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);mm(W x H mm);Duty;Built-In Controller;Yellow;Green;Red;Blue;White;Image path;Datasheet part;3d model part
OLED-048O064A-LPP3N00000;graphic;48 x 64 dots;13.90 x 22.0 x 1.26;12.14 x 16.30;-;0.198 x 0.208;0.220 x 0.230;1/64;SSD1306BZ;Yes;-;-;-;-;37970;Datasheet/displays/OLED-048O064A-LPP3N00000\OLED-048O064A-LPP3N00000.pdf;None
OLED-050H016A;Graphic;50 x 16 dots;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;-;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;Y;Y;Y;Y;Y;37707;Datasheet/displays/OLED-050H016A\OLED-050H016A.pdf;None
OLED-050H016A-BPP5N00000;graphic;50 x 16 dots;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;-;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;-;-;Yes;-;37824;Datasheet/displays/OLED-050H016A-BPP5N00000\OLED-050H016A-BPP5N00000.pdf;None
OLED-050H016A-GPP5N00000;graphic;50 x 16 dots;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;-;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;Yes;-;-;-;37825;Datasheet/displays/OLED-050H016A-GPP5N00000\OLED-050H016A-GPP5N00000.pdf;None
OLED-050H016A-LPP5N00000;graphic;50 x 16 dots;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;-;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;Yes;-;-;-;-;37756;Datasheet/displays/OLED-050H016A-LPP5N00000\OLED-050H016A-LPP5N00000.pdf;None
OLED-050H016A-WPP5N00000;graphic;50 x 16 dots;58.0 x 32.0 x 10.0 (max.);38.0 x 16.0;-;0.56 x 0.66;0.60 x 0.70;1/16;OLED-0010;-;-;-;-;Yes;37827;Datasheet/displays/OLED-050H016A-WPP5N00000\OLED-050H016A-WPP5N00000.pdf;None
OLED-064O032A-LPP3N00000;graphic;64 x 32 dots;14.5 x 11.6 x 1.26;12.58 x 6.58;-;0.153 x 0.153;0.175 x 0.175;1/32;SSD1306BZ;Yes;-;-;-;-;37971;Datasheet/displays/OLED-064O032A-LPP3N00000\OLED-064O032A-LPP3N00000.pdf;None
OLED-064O048A-LPP3N00000;graphic;64 x 48 dots;18.46 x 18.10 x 1.3;15.42 x 12.06;-;0.185 x 0.185;0.210 x 0.210;1/48;SSD1306BZ;Yes;-;-;-;-;37972;Datasheet/displays/OLED-064O048A-LPP3N00000\OLED-064O048A-LPP3N00000.pdf;None
OLED-076H016A-BPP5N00000;graphic;76 x 16 dots;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;-;0.45 x 0.60;0.55 x 0.70;1/16;OLE D-0010;-;-;-;Yes;-;37828;Datasheet/displays/OLED-076H016A-BPP5N00000\OLED-076H016A-BPP5N00000.pdf;None
OLED-076H016A-GPP5N00000;graphic;76 x 16 dots;55.7 x 32.0 x 11.0 (max.);46.0 x 14.5;-;0.45 x 0.60;0.55 x 0.70;1/16;OLE D-0010;-;Yes;-;-;-;37829;Datasheet/displays/OLED-076H016A-GPP5N00000\OLED-076H016A-GPP5N00000.pdf;None
